"filename", "language", "JavaScript JSX", "C#", "JSON", "XML", "comment", "blank", "total"
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Services\Interfaces\IAuthService.cs", "C#", 0, 4, 0, 0, 0, 0, 4
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Services\Interfaces\IEditionService.cs", "C#", 0, 7, 0, 0, 0, 1, 8
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Services\Interfaces\IFileService.cs", "C#", 0, 3, 0, 0, 0, -1, 2
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Services\Interfaces\INewsService.cs", "C#", 0, 9, 0, 0, 0, 0, 9
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Services\Interfaces\IUserService.cs", "C#", 0, 6, 0, 0, 0, 0, 6
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Services\NewsService.cs", "C#", 0, 135, 0, 0, 0, 27, 162
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Services\UserService.cs", "C#", 0, 65, 0, 0, 0, 16, 81
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Validators\LoginDtoValidator.cs", "C#", 0, 11, 0, 0, 0, 1, 12
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Validators\RegisterDtoValidator.cs", "C#", 0, 22, 0, 0, 0, 5, 27
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\obj\Debug\net8.0\ApiEndpoints.json", "JSON", 0, 0, 11, 0, 0, 0, 11
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\obj\NewsAppBecend.csproj.nuget.dgspec.json", "JSON", 0, 0, 8, 0, 0, 0, 8
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\obj\project.assets.json", "JSON", 0, 0, 282, 0, 0, 0, 282
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\First\Login.jsx", "JavaScript JSX", -1, 0, 0, 0, -2, -1, -4
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\First\Register.jsx", "JavaScript JSX", -13, 0, 0, 0, -4, 2, -15
"Total", "-", -14, 973, 1290, 2, 8, 202, 2461
