"filename", "language", "PostCSS", "JavaScript", "JavaScript JSX", "XML", "Markdown", "JSON", "C#", "HTML", "MS SQL", "Properties", "comment", "blank", "total"
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Migrations\20250731093059_InitialCreate.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 2, 32, 140
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Migrations\20250731093059_InitialCreate.cs", "C#", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 3, 9, 88
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Migrations\20250731103718_UpdateUserEditionsRelation.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 2, 35, 153
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Migrations\20250731103718_UpdateUserEditionsRelation.cs", "C#", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 3, 11, 82
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Migrations\20250802135557_AddAvatarUrlToUser.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 2, 36, 157
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Migrations\20250802135557_AddAvatarUrlToUser.cs", "C#", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 3, 4, 30
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Migrations\NewsDbContextModelSnapshot.cs", "C#", 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 1, 36, 154
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Model\DB\NewsDbContext.cs", "C#", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 8, 28
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Model\Dto\AddForUserDto.cs", "C#", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Model\Dto\EditionsItemDto.cs", "C#", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Model\Dto\LoginDto.cs", "C#", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Model\Dto\NewsItemDto.cs", "C#", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Model\Dto\NewsItemDto_.cs", "C#", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Model\Dto\RegisterDto.cs", "C#", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Model\Entities\EditionsItem.cs", "C#", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Model\Entities\NewsItem.cs", "C#", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Model\Entities\User.cs", "C#", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\NewsAppBecend.csproj", "XML", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Program.cs", "C#", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 4, 10, 43
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Properties\launchSettings.json", "JSON", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 1, 42
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Repositories\EditionRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 6, 43
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Repositories\GenericRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 15, 83
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Repositories\Interfaces\IEditionRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Repositories\Interfaces\IGenericRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Repositories\Interfaces\INewsRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Repositories\Interfaces\IUserRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Repositories\NewsRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 4, 19, 107
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\NewsAppBecend\Repositories\UserRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 5, 36
