"filename", "language", "JavaScript", "PostCSS", "JavaScript JSX", "Markdown", "XML", "JSON", "C#", "MS SQL", "Properties", "HTML", "comment", "blank", "total"
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\Main\Home.jsx", "JavaScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\Main\Layout.jsx", "JavaScript JSX", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 14, 125
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\Main\NoPage.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\Main\Profile.jsx", "JavaScript JSX", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 11, 75
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\Main\SearchSortNews.jsx", "JavaScript JSX", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 1, 12, 120
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\context\AllContext.jsx", "JavaScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\context\SourcesContext.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\context\UserContext.jsx", "JavaScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\hooks\useMessage.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\validation\validateLogin.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\Componens\validation\validateRegister.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\index.css", "PostCSS", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\src\main.jsx", "JavaScript JSX", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 2, 21
"c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 87, 22, 1423, 7, 97, 11708, 970, 6, 27, 13, 76, 431, 14867
